단지명,회사명,공장대표주소(도로명),전화번호
천안풍세일반산업단지,(주)펨코로지스틱제오호위탁관리부동산투자회사,충청남도 천안시 동남구 풍세면 용정리 976번지 (풍세일반산업단지 내 Z3-1),02-566-7946
천안산업기술일반산업단지,스마트쿱 주식회사,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2309호",02-548-6969
천안제3일반산업단지,주식회사 드림구조,"충청남도 천안시 서북구 백석공단1로 10, M동 323호(백석동, 천안 미래에이스하이테크시티)",02-541-4690
천안직산농공단지,선광에이앤씨(주),충청남도 천안시 서북구 직산읍 부송1길 48 (직산읍),02-529-7440
천안백석농공단지,(주)라피앙스,충청남도 천안시서북구 백석동 555-31 번지,02-508-8596
천안제4일반산업단지,(주)에이치앤피로지스,충청남도 천안시 서북구 직산읍 4산단1길 11,02-508-6144
천안제4일반산업단지,(주)우인기연,"충청남도 천안시 서북구 직산읍 4산단3로 52, A동 3호",02-414-1905
천안제3일반산업단지,(주)쌍방울 천안공장,"충청남도 천안시 서북구 백석공단7로 65 (백석동) 2층, 4층",02-3780-1464
천안풍세일반산업단지,한일산업(주)천안공장,충청남도 천안시 동남구 풍세면 풍세산단로 90,02-3466-9632
천안직산농공단지,대홍테크뉴,충청남도 천안시 서북구 직산읍 부송1길 42,02-3442-2600
천안풍세일반산업단지,(주)중동텍스타일,충청남도 천안시 동남구 풍세면 풍세산단1로 27,02-2695-9374
천안산업기술일반산업단지,(주)제이에스엔지니어링,"충청남도 천안시 서북구 직산읍 직산로 136, 연구동 212(정보영상융합센터)",02-2678-6950
천안풍세일반산업단지,(주)이노패키지,충청남도 천안시 동남구 풍세면 풍세산단로 226-6,02-2285-1071
천안백석농공단지,주식회사 라피끄,충청남도 천안시 서북구 백석공단3길 12 (백석동),02-2263-9782
천안제3일반산업단지,(주)뉴엔텍,"충청남도 천안시 서북구 백석공단1로 10, M426호(백석동, 천안 미래에이스하이테크시티)",
천안제3일반산업단지,대한교역 주식회사,"충청남도 천안시 서북구 백석공단1로 10, 비동 1002호(백석동, 천안 미래에이스하이테크시티)",
천안제3일반산업단지,비즈얼라이언스 주식회사,충청남도 천안시 서북구 백석공단1로 10 (백석동) A동 8F층 807호,
천안직산농공단지,(주)케이엠에프,충청남도 천안시 서북구 직산읍 부송1길 39,
천안마정일반산업단지,(주)퍼스트코어,충청남도 천안시 서북구 직산읍 금곡로 52-11 (주)신화정밀,
천안마정일반산업단지,마정산업,충청남도 천안시 서북구 직산읍 마정1길 46,
천안마정일반산업단지,한국인회,충청남도 천안시 서북구 직산읍 금곡로 52-17 (주)한국인회,
천안마정일반산업단지,건화기계,충청남도 천안시서북구 직산읍 마정리 506번지,
천안백석농공단지,주식회사 토코스,충청남도 천안시 서북구 백석공단2길 51 (백석동),
천안백석농공단지,지앤비솔루션(주),"충청남도 천안시 서북구 백석공단4길 15, 3동 1층 (백석동)",
천안백석농공단지,(주)넥스트솔루션,"충청남도 천안시 서북구 백석공단1로 42 (백석동, 대성전자(주))",
천안백석농공단지,우인코리아(주),"충청남도 천안시 서북구 백석공단4길 12, (주)우인코리아 (백석동)",
천안백석농공단지,푸른건강식품연구원,충청남도 천안시서북구 백석동 555-37 번지,
천안백석농공단지,이에스테크놀러지(주),"충청남도 천안시 서북구 백석공단1로 70, 가동 1층(백석동, 화성조명)",
천안백석농공단지,(주)보아,"충청남도 천안시 서북구 백석공단1로 73 (백석동, (주)비오에이)",
천안백석농공단지,주식회사 제원,충청남도 천안시 서북구 백석동 555-90번지,
천안백석농공단지,유진테크,충청남도 천안시 서북구 백석공단4길 15(백석동),
천안산업기술일반산업단지,지나테크,"충청남도 천안시 서북구 직산읍 직산로 136, 정보영상융합센터 606호 (직산읍)",
천안산업기술일반산업단지,주식회사 바이오시그널코리아,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 4101호, 4102호",
천안제2일반산업단지,스프링컴,"충청남도 천안시 서북구 2공단2로 95, 1동 2층 205호(차암동, 천안테크노타운) 1동 2층 205호",
천안제2일반산업단지,낙원,충청남도 천안시 서북구 2공단2로 102 (차암동),
천안제3일반산업단지,동일오토텍,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 1003호 (백석동)",
천안제3일반산업단지,케이와이에이치,"충청남도 천안시 서북구 백석공단1로 10, M동 B116호, M동 B117호(백석동, 천안 미래에이스하이테크시티)",
천안제3일반산업단지,케이와이에이치(KYH),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B113호 (백석동)",
천안제3일반산업단지,코스제닌,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B118호 (백석동)",
천안제3일반산업단지,바스엔지니어링,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 703호 (백석동)",
천안제3일반산업단지,(주)뉴엔텍,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 1006호 (백석동)",
천안제3일반산업단지,(주)뉴엔텍,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 512호 (백석동)",
천안제3일반산업단지,대박기획,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 206호 (백석동)",
천안제3일반산업단지,인사이드,충청남도 천안시 서북구 백석공단1로 10 (백석동) A동 6F층 614호,
천안제3일반산업단지,인토토,"충청남도 천안시 서북구 백석공단1로 10, B동1004호(백석동, 천안 미래에이스하이테크시티)",
천안제3일반산업단지,티이케이,"충청남도 천안시 서북구 백석공단1로 10, M동 416호(백석동, 천안 미래에이스하이테크시티)",
천안제3일반산업단지,중오,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 318호 (백석동)",
천안제3일반산업단지,중오,"충청남도 천안시 서북구 백석공단1로 10, M동317호(백석동, 천안 미래에이스하이테크시티)",
천안제3일반산업단지,김은아,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 807호 (백석동)",
천안제3일반산업단지,용강,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 339호 (백석동)",
천안제3일반산업단지,SG테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 614호 (백석동)",
천안제3일반산업단지,에스피텍,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 703호 (백석동)",
천안제3일반산업단지,다온시스템,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 336호 (백석동)",
천안제3일반산업단지,(주)캐스트프로 ,충청남도 천안시 서북구 백석공단1로 10 (백석동) 천안 미래에이스하이테크시티 MB동 109호,
천안제3일반산업단지,대진정보교육,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 410호 (백석동)",
천안제3일반산업단지,엠테크(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 504호 (백석동)",
천안제3일반산업단지,주식회사 트루리,"충청남도 천안시 서북구 백석공단1로 10, A동 507호(백석동, 천안 미래에이스하이테크시티)",
천안제3일반산업단지,주식회사 레이제라,"충청남도 천안시 서북구 백석공단1로 10, 4층 M407호(백석동, 천안 미래에이스하이테크시티)",
천안제3일반산업단지,비에스에이(주),"충청남도 천안시 서북구 백석공단1로 10, A동709호(백석동, 천안 미래에이스하이테크시티)",
천안제3일반산업단지,(주)제이원테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 603호 (백석동)",
천안제3일반산업단지,메티스,충청남도 천안시 서북구 백석공단1로 10 (백석동) A동 8F층 810호,
천안제3일반산업단지,브이원,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 1007호 (백석동)",
천안제3일반산업단지,주식회사 에스아이피,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 1012호 (백석동)",
천안제3일반산업단지,삼진엘텍,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 708호 (백석동) 외 1필지",
천안제3일반산업단지,윈테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 711호 (백석동)",
천안제4일반산업단지,에이엠테크,충청남도 천안시 서북구 직산읍 4산단5길 25-8,
천안제4일반산업단지,엑스오테크놀러지(주),충청남도 천안시 서북구 직산읍 4산단5길 11-1,
천안제4일반산업단지,삼기엔지니어링,충청남도 천안시서북구 직산읍 신갈리 280번지,
천안제4일반산업단지,다보샤링,충청남도 천안시 서북구 직산읍 2공단5로 115,
천안제4일반산업단지,(주)이노베이션,충청남도 천안시 서북구 직산읍 2공단5로 107,
천안제4일반산업단지,(주)하이셈테크놀로지,"충청남도 천안시 서북구 직산읍 4산단5길 25-5, C동102호, C동103호 (직산읍)",
천안제4일반산업단지,(주)대광테크,충청남도 천안시 서북구 직산읍 4산단3로 52,
천안제4일반산업단지,(주)지멕스,충청남도 천안시 서북구 직산읍 2공단5로 115,
천안제5일반산업단지,(주)중앙기업,충청남도 천안시 동남구 수신면 5산단5로 15,
천안풍세일반산업단지,도담이엔지,충청남도 천안시 동남구 풍세면 풍세산단2로 50-4,
천안풍세일반산업단지,(주)에이치케이피앤에스,충청남도 천안시 동남구 풍세면 풍세산단로 50,
천안풍세일반산업단지,주식회사 유엔아이,"충청남도 천안시 동남구 풍세면 풍세산단3로 20, 2동, 3동",
천안풍세일반산업단지,오트밀식품,충청남도 천안시 동남구 풍세면 용정리 993번지,
천안풍세일반산업단지,주식회사 세원이엔지,충청남도 천안시 동남구 풍세면 풍세산단로 226-8,
천안풍세일반산업단지,(주)디와이이엔지,충청남도 천안시 동남구 풍세면 풍세산단1로 35,
